Lines_Cleared,Time
6324,00:25:07
4018,00:08:33
7387,00:15:24
1894,00:04:04
3595,00:07:39
3546,00:07:30
14487,00:31:53
6045,00:12:57
1828,00:03:48
1355,00:03:00
17916,00:37:59
36405,01:17:33
10156,00:21:43
1170,00:02:21
2036,00:04:15
2287,00:04:42
2437,00:05:17
3523,00:07:29
2366,00:04:58
7452,00:15:40
5003,00:10:35
12289,00:27:03
6315,00:14:08
1595,00:03:24
5344,00:11:37
13147,00:28:28
4033,00:08:33
4535,00:09:14
7327,00:15:34
8917,00:19:17
157,00:00:20
11307,00:23:46
742,00:01:36
6526,00:13:49
7501,00:15:43
576,00:01:11
14733,00:30:56
2264,00:05:01
6297,00:13:22
1513,00:03:17
17003,00:36:03
7096,00:15:04
11280,00:24:04
15386,00:32:13
33440,01:11:23
3292,00:07:07
6468,00:13:43
4236,00:08:59
1133,00:02:28
17894,00:38:00
945,00:01:59
9319,00:19:57
8109,00:17:24
1090,00:02:26
1591,00:03:12
13820,00:29:52
2214,00:04:40
47693,01:41:08
7630,00:16:51
15557,00:33:02
4978,00:10:55
6266,00:13:37
6010,00:12:32
4810,00:10:20
33128,01:12:10
15533,00:33:29
5959,00:12:14
3709,00:07:51
1138,00:02:20
9708,00:20:26
6740,00:13:57
6867,00:14:36
6530,00:13:54
7850,00:16:37
15740,00:34:43
10256,00:22:12
8633,00:18:26
22189,00:47:52
1701,00:03:38
4738,00:10:00
8176,00:17:23
4778,00:10:09
4886,00:10:27
27161,00:58:23
2203,00:04:48
611,00:01:18
1104,00:02:19
1578,00:03:18
7538,00:16:30
2815,00:06:17
7746,00:16:49
19011,00:41:15
3259,00:06:58
2458,00:05:11
1805,00:03:42
5600,00:12:15
10754,00:23:28
12801,00:27:39
7368,00:16:18
16307,00:34:51
