Lines_Cleared,Time
9691,00:22:09
12025,00:33:28
17062,00:49:48
18077,00:55:34
12268,00:34:34
23088,01:03:29
5741,00:15:37
12015,00:32:43
5208,00:14:23
6367,00:17:05
14707,00:40:02
5136,00:13:48
22811,01:02:13
8993,00:24:52
877,00:02:22
15507,00:42:45
116,00:00:20
25012,01:10:56
31629,01:34:45
2599,00:07:04
48302,02:12:00
2102,00:05:40
4842,00:12:48
4961,00:13:29
29605,01:20:18
9697,00:26:35
739,00:02:04
975,00:02:37
23327,01:06:20
17974,00:49:02
2224,00:06:18
32,00:00:06
13809,00:38:36
12583,00:36:48
4003,00:12:12
8576,00:26:11
3358,00:10:14
4319,00:13:15
10261,00:28:27
13117,00:36:20
208,00:00:34
19412,00:53:01
6882,00:18:44
3654,00:10:06
44435,02:00:37
7340,00:19:51
2671,00:07:15
24213,01:06:12
26987,01:13:31
9862,00:27:37
2541,00:06:53
2778,00:07:57
5361,00:15:21
394,00:01:12
22221,01:06:52
19408,00:55:23
8140,00:22:43
10152,00:27:35
20337,00:55:47
19170,00:52:21
25795,01:09:54
11356,00:30:47
2942,00:07:56
4666,00:12:55
250,00:00:39
10144,00:27:50
14205,00:39:05
3430,00:09:20
3635,00:09:59
10719,00:29:08
18336,00:51:34
17205,00:51:01
14820,00:45:34
6231,00:17:01
1025,00:02:46
3084,00:08:20
4401,00:12:07
40107,01:49:24
54017,02:26:36
175,00:00:29
3478,00:09:33
5759,00:15:46
12648,00:34:49
4933,00:13:43
20054,00:54:33
4277,00:12:00
20674,01:01:42
19059,00:51:35
31026,01:30:04
8776,00:24:01
598,00:01:43
21055,01:02:37
575,00:01:44
16469,00:45:34
690,00:01:52
5529,00:14:59
18437,00:54:23
31142,01:25:59
7329,00:20:52
13756,00:41:40
