Lines_Cleared,Time
1176,00:06:30
683,00:03:39
9943,00:49:17
2527,00:05:55
1947,00:04:31
3454,00:09:28
677,00:01:56
1671,00:04:42
5104,00:14:02
2990,00:08:14
6380,00:17:30
7452,00:20:58
5479,00:15:48
4148,00:11:23
2088,00:05:48
966,00:02:43
6229,00:17:35
1090,00:03:05
4061,00:11:35
792,00:02:16
889,00:02:30
533,00:01:34
4914,00:14:11
3214,00:09:13
708,00:02:02
308,00:00:54
5762,00:16:33
1079,00:02:40
887,00:02:33
878,00:02:30
2265,00:06:37
850,00:02:28
371,00:01:05
441,00:01:15
5872,00:16:53
2883,00:08:10
1193,00:03:18
8609,00:24:18
1022,00:02:57
6282,00:17:57
6030,00:17:41
4378,00:12:27
1054,00:03:01
1300,00:03:37
2498,00:07:07
1131,00:03:13
3582,00:10:12
1557,00:04:33
8945,00:25:34
3282,00:09:17
4549,00:12:59
3221,00:09:13
2907,00:07:23
2551,00:06:35
54,00:00:09
3644,00:09:09
807,00:02:04
2052,00:05:05
3265,00:08:05
3823,00:09:26
1821,00:04:23
1476,00:03:39
3209,00:08:06
1757,00:04:14
3099,00:07:36
221,00:00:37
518,00:01:21
2956,00:07:41
7750,00:19:44
8342,00:21:00
7110,00:18:13
1368,00:03:29
297,00:00:45
1218,00:02:57
2476,00:05:58
4389,00:10:37
629,00:01:39
327,00:00:49
2135,00:05:12
3965,00:09:34
3953,00:09:46
1741,00:04:04
63,00:00:10
3329,00:08:03
258,00:00:38
321,00:00:46
5183,00:12:35
1707,00:04:05
2766,00:06:32
613,00:01:29
2833,00:06:46
5,00:00:01
2176,00:05:15
256,00:00:37
4834,00:11:33
5190,00:12:27
834,00:02:00
903,00:02:09
6787,00:16:20
4529,00:10:51
