Lines_Cleared,Time
0,00:00:00
0,00:00:00
0,00:00:00
0,00:00:00
0,00:00:00
0,00:00:00
0,00:00:00
0,00:00:00
0,00:00:00
0,00:00:00
0,00:00:00
0,00:00:00
32,00:00:12
68,00:00:19
55,00:00:16
36,00:00:11
62,00:00:23
42,00:00:13
87,00:00:22
36,00:00:04
33,00:00:03
54,00:00:06
95,00:00:10
61,00:00:06
60,00:00:06
65,00:00:06
70,00:00:09
77,00:00:08
173,00:00:17
43,00:00:05
25,00:00:03
66,00:00:07
69,00:00:07
53,00:00:07
58,00:00:07
86,00:00:09
36,00:00:04
120,00:00:14
35,00:00:05
38,00:00:04
60,00:00:06
35,00:00:05
16,00:00:03
111,00:00:13
21,00:00:03
47,00:00:06
60,00:00:06
44,00:00:04
43,00:00:05
149,00:00:14
49,00:00:06
51,00:00:06
36,00:00:04
36,00:00:04
54,00:00:06
69,00:00:07
52,00:00:05
38,00:00:04
53,00:00:06
140,00:00:14
23,00:00:02
56,00:00:07
49,00:00:06
67,00:00:06
65,00:00:07
50,00:00:05
59,00:00:05
64,00:00:06
69,00:00:08
70,00:00:07
69,00:00:07
63,00:00:08
68,00:00:07
30,00:00:03
61,00:00:06
36,00:00:04
28,00:00:03
86,00:00:10
38,00:00:05
94,00:00:11
66,00:00:07
75,00:00:07
78,00:00:07
28,00:00:03
75,00:00:08
39,00:00:04
54,00:00:06
21,00:00:03
30,00:00:03
63,00:00:07
117,00:00:14
58,00:00:06
124,00:00:15
61,00:00:06
59,00:00:08
36,00:00:03
52,00:00:05
79,00:00:08
62,00:00:08
43,00:00:05
