Lines_Cleared,Time
42,00:00:05
28,00:00:04
61,00:00:07
46,00:00:07
51,00:00:06
96,00:00:11
50,00:00:06
69,00:00:08
55,00:00:05
45,00:00:05
56,00:00:08
45,00:00:05
71,00:00:07
38,00:00:04
79,00:00:10
46,00:00:04
85,00:00:10
65,00:00:06
13,00:00:02
67,00:00:06
37,00:00:06
48,00:00:06
74,00:00:09
47,00:00:05
88,00:00:08
58,00:00:05
20,00:00:04
25,00:00:03
54,00:00:06
157,00:00:16
134,00:00:15
37,00:00:05
68,00:00:07
28,00:00:04
43,00:00:05
27,00:00:03
45,00:00:05
61,00:00:07
25,00:00:03
63,00:00:07
82,00:00:10
33,00:00:04
48,00:00:06
58,00:00:06
136,00:00:11
23,00:00:03
109,00:00:10
36,00:00:04
59,00:00:07
131,00:00:13
57,00:00:06
45,00:00:05
106,00:00:09
47,00:00:06
31,00:00:04
35,00:00:05
45,00:00:05
58,00:00:05
66,00:00:07
49,00:00:05
32,00:00:03
33,00:00:03
28,00:00:04
89,00:00:09
34,00:00:04
50,00:00:05
23,00:00:03
43,00:00:04
42,00:00:04
30,00:00:03
112,00:00:09
34,00:00:04
53,00:00:05
83,00:00:09
56,00:00:05
45,00:00:05
59,00:00:06
62,00:00:06
92,00:00:09
62,00:00:06
34,00:00:04
72,00:00:06
92,00:00:08
30,00:00:03
60,00:00:06
36,00:00:04
164,00:00:12
72,00:00:07
113,00:00:11
41,00:00:04
67,00:00:06
48,00:00:05
85,00:00:09
43,00:00:04
93,00:00:08
70,00:00:06
40,00:00:04
26,00:00:03
45,00:00:04
29,00:00:03
