Lines_Cleared,Time
357,00:00:40
460,00:00:48
388,00:00:50
278,00:00:27
179,00:00:21
2482,00:04:40
828,00:01:42
4988,00:09:42
5482,00:10:39
5280,00:10:21
592,00:01:11
1842,00:03:36
286,00:00:32
231,00:00:26
145,00:00:14
3797,00:07:39
1331,00:02:50
935,00:01:43
51,00:00:06
2682,00:05:39
491,00:00:53
928,00:01:50
414,00:00:53
2428,00:04:56
1780,00:03:35
3132,00:06:23
767,00:01:41
78,00:00:08
1022,00:02:03
4510,00:08:43
561,00:01:02
14037,00:28:21
817,00:01:31
5557,00:11:20
3473,00:07:04
899,00:01:54
2660,00:05:30
726,00:01:17
551,00:01:11
1950,00:03:53
4078,00:08:31
899,00:01:51
3704,00:07:22
4833,00:09:54
2052,00:04:18
2586,00:05:16
2535,00:05:14
230,00:00:25
4171,00:08:20
2045,00:04:11
3147,00:06:30
743,00:01:26
195,00:00:22
1286,00:02:43
3170,00:06:24
4555,00:09:36
3202,00:06:03
1141,00:02:03
719,00:01:27
2182,00:04:42
3273,00:06:55
534,00:01:00
3432,00:07:05
1611,00:03:06
1798,00:03:24
1664,00:03:19
1358,00:02:38
565,00:01:06
2107,00:04:23
1450,00:03:09
2042,00:04:13
588,00:01:11
651,00:01:18
2242,00:04:33
261,00:00:33
903,00:01:51
228,00:00:23
2797,00:05:33
1395,00:02:44
833,00:01:47
9223,00:18:13
744,00:01:32
646,00:01:15
81,00:00:10
743,00:01:28
1792,00:03:26
630,00:01:19
248,00:00:26
2562,00:05:16
1910,00:03:52
1187,00:02:21
3020,00:06:10
2157,00:04:02
2110,00:04:22
1794,00:03:42
563,00:01:08
1993,00:03:48
470,00:00:59
1603,00:03:22
354,00:00:41
