Lines_Cleared,Time
1162,00:02:49
475,00:01:12
639,00:01:29
523,00:01:10
548,00:01:27
1598,00:03:49
2821,00:07:06
1185,00:02:39
2521,00:05:22
205,00:00:28
655,00:01:17
379,00:00:53
580,00:01:23
1126,00:02:39
853,00:01:56
3524,00:08:17
1396,00:03:04
2741,00:05:46
1492,00:03:22
477,00:01:05
1281,00:02:48
1029,00:02:30
1094,00:02:11
2120,00:04:55
2397,00:05:23
6386,00:14:27
132,00:00:16
1741,00:03:52
1594,00:03:58
293,00:00:44
185,00:00:27
525,00:01:20
3253,00:07:52
356,00:00:46
1610,00:04:02
2355,00:05:13
3456,00:07:30
1692,00:03:38
1052,00:02:14
1511,00:03:29
2503,00:05:39
661,00:01:29
3040,00:06:51
9142,00:20:45
1034,00:02:18
867,00:02:00
794,00:01:55
1373,00:03:01
8091,00:20:08
2992,00:06:31
1592,00:03:16
880,00:01:52
3419,00:07:14
2035,00:04:40
4468,00:09:39
2258,00:04:59
2210,00:05:07
1046,00:02:20
1912,00:04:09
5897,00:13:46
130,00:00:17
566,00:01:21
392,00:00:50
2944,00:06:29
1691,00:04:21
650,00:01:30
1524,00:03:53
2747,00:06:59
309,00:00:47
147,00:00:15
654,00:01:22
323,00:00:38
1335,00:02:52
3893,00:08:27
1786,00:03:51
487,00:01:07
725,00:01:26
2674,00:06:03
1653,00:03:39
8663,00:19:00
1031,00:02:21
2006,00:04:36
1929,00:04:22
883,00:02:01
1289,00:03:05
1244,00:02:42
2087,00:04:06
492,00:01:17
982,00:02:32
8009,00:18:57
1811,00:03:49
11099,00:24:56
4558,00:10:04
938,00:02:10
5615,00:12:52
1200,00:02:18
3365,00:07:36
1931,00:04:03
562,00:01:15
2506,00:05:40
