Lines_Cleared,Time
6,00:00:01
9,00:00:01
21,00:00:02
18,00:00:02
5,00:00:01
11,00:00:02
8,00:00:02
7,00:00:02
8,00:00:02
15,00:00:02
7,00:00:02
14,00:00:03
17,00:00:02
6,00:00:01
11,00:00:02
10,00:00:02
11,00:00:02
25,00:00:04
12,00:00:03
16,00:00:03
11,00:00:02
23,00:00:04
15,00:00:03
12,00:00:02
10,00:00:02
11,00:00:03
17,00:00:03
10,00:00:02
8,00:00:01
14,00:00:02
14,00:00:03
21,00:00:03
19,00:00:03
9,00:00:02
19,00:00:04
11,00:00:02
14,00:00:02
17,00:00:02
17,00:00:03
12,00:00:02
9,00:00:02
19,00:00:03
11,00:00:02
20,00:00:04
11,00:00:02
12,00:00:02
9,00:00:02
12,00:00:02
24,00:00:03
9,00:00:02
15,00:00:02
2,00:00:01
15,00:00:02
14,00:00:03
7,00:00:01
10,00:00:02
9,00:00:02
10,00:00:02
15,00:00:02
5,00:00:01
8,00:00:02
9,00:00:02
8,00:00:02
6,00:00:02
14,00:00:02
10,00:00:02
10,00:00:02
24,00:00:03
10,00:00:02
5,00:00:01
9,00:00:02
8,00:00:02
20,00:00:03
6,00:00:02
8,00:00:02
26,00:00:03
8,00:00:02
13,00:00:02
20,00:00:03
18,00:00:02
14,00:00:02
16,00:00:02
34,00:00:04
9,00:00:01
15,00:00:03
14,00:00:02
21,00:00:03
13,00:00:02
9,00:00:02
10,00:00:02
11,00:00:02
19,00:00:03
13,00:00:02
11,00:00:02
19,00:00:03
21,00:00:02
13,00:00:02
23,00:00:03
13,00:00:02
11,00:00:02
