Lines_Cleared,Time
330,00:00:38
7931,00:15:34
8805,00:16:49
417,00:00:44
1986,00:03:53
3916,00:07:32
16240,00:30:54
310,00:00:35
17942,00:33:52
10533,00:19:37
6445,00:11:59
5166,00:09:41
23560,00:44:44
3787,00:07:05
3591,00:06:28
13402,00:25:04
12346,00:22:28
13395,00:25:09
18985,00:35:59
5281,00:09:59
5199,00:09:58
7097,00:13:33
3974,00:07:33
683,00:01:20
1670,00:03:11
1505,00:02:49
2214,00:04:08
5223,00:09:49
23022,00:44:19
13467,00:25:38
1838,00:03:34
1076,00:02:00
4623,00:08:52
8871,00:16:37
7031,00:13:09
763,00:01:28
6266,00:11:54
3532,00:06:37
1563,00:02:59
2677,00:05:23
6538,00:12:13
18357,00:35:10
4996,00:09:13
6625,00:12:34
6569,00:12:36
51,00:00:07
20239,00:38:21
5582,00:10:23
807,00:01:30
25568,00:47:50
5540,00:10:25
479,00:00:50
13006,00:24:30
4444,00:08:22
4940,00:09:04
1547,00:02:50
6933,00:13:19
5126,00:09:47
8288,00:15:35
709,00:01:09
11037,00:20:33
12132,00:22:51
14663,00:27:21
22693,00:42:54
5889,00:10:46
26982,00:50:18
7641,00:14:25
534,00:01:02
17996,00:34:09
36571,01:08:21
2432,00:04:31
12684,00:24:07
7954,00:15:16
29348,00:57:01
12607,00:24:25
20015,00:38:52
4239,00:07:55
391,00:00:44
2898,00:05:24
2284,00:04:18
17151,00:39:36
791,00:01:50
11242,00:21:27
22795,01:02:48
23310,01:01:29
7803,00:20:05
1798,00:05:11
2897,00:08:07
5317,00:16:06
1691,00:04:58
29128,01:25:53
27335,01:21:55
30870,01:33:02
5566,00:15:58
6632,00:17:57
1382,00:03:52
37584,01:50:23
16667,00:45:27
14506,00:39:54
4970,00:13:54
